Designator,Mid X,Mid Y,Rotation,Layer
R55,66.1944,-58.7756,180.0,top
R56,74.424,-58.7756,180.0,top
R57,77.1672,-58.7756,180.0,top
R58,85.3968,-58.7756,180.0,top
R59,88.14,-58.7248,180.0,top
R6,84.066,-134.6708,0.0,top
R60,52.0466,-81.3816,180.0,top
R61,54.8406,-81.3816,180.0,top
R62,63.1932,-81.3816,180.0,top
R63,65.9912,-81.3816,180.0,top
R64,74.3184,-81.3816,180.0,top
R65,77.087,-81.3816,180.0,top
R66,85.3674,-81.3816,180.0,top
R67,88.0892,-81.3562,180.0,top
R68,52.0466,-83.6422,180.0,top
R69,54.8406,-83.6422,180.0,top
R7,123.0296,-132.908101,90.0,top
R70,63.1932,-83.6422,180.0,top
R71,65.9912,-83.6422,180.0,top
R72,74.3184,-83.6422,180.0,top
R73,77.091,-83.6422,180.0,top
R74,85.3674,-83.6422,180.0,top
R75,88.0852,-83.6422,180.0,top
R76,57.4548,-54.4446,270.0,top
R77,60.198,-54.4446,270.0,top
R78,68.4276,-54.4446,270.0,top
R79,71.1708,-54.4446,270.0,top
R8,136.6948,-132.904101,90.0,top
R80,79.4004,-54.4446,270.0,top
R81,82.1436,-54.4446,270.0,top
R82,90.3732,-54.4446,270.0,top
R83,93.1164,-54.4576,270.0,top
R84,57.9648,-56.4896,180.0,top
R85,60.708,-56.4896,180.0,top
R86,68.9376,-56.4896,180.0,top
R87,71.6808,-56.4896,180.0,top
R88,79.9104,-56.4896,180.0,top
R89,82.6536,-56.4896,180.0,top
R9,87.7824,-123.9032,270.0,top
R90,90.8832,-56.4896,180.0,top
R91,93.6224,-56.4896,180.0,top
R92,57.9648,-58.7756,180.0,top
R93,60.708,-58.7756,180.0,top
R94,68.9376,-58.7756,180.0,top
R95,71.6808,-58.7756,180.0,top
R96,79.9104,-58.7756,180.0,top
R97,82.6536,-58.7756,180.0,top
R98,90.8832,-58.7248,180.0,top
R99,93.6264,-58.7248,180.0,top
U1,56.186649,-91.8464,180.0,top
U10,56.563,-65.3288,270.0,top
U11,67.5612,-65.3288,270.0,top
U12,78.5594,-65.3288,270.0,top
U13,89.5096,-65.3288,270.0,top
U2,68.6102,-118.8704,0.0,top
U3,43.145167,-69.804734,270.0,top
U4,44.029034,-89.576367,90.0,top
U5,75.325248,-91.8388,180.0,top
U6,129.792,-134.8238,0.0,top
U7,128.27,-63.38,270.0,top
U8,114.046,-63.38,270.0,top
U9,113.221,-121.120501,90.0,top
X1,58.4708,-130.302,270.0,top
